Num	IdReq	NIT	RazonSocial	Folio	FechaEmision	TipoDocumento	BaseNoTax	BaseExcento	BaseIVA	BaseINC	BaseIC	BaseICA	BaseICL	BaseICUI	BaseIBUA	Subtotal	DescuentoGlobal	IVA	INC	IC	ICA	ICL	ICUI	IBUA	RecargoGlobal	TotalDocumento	EstadomySatcom	CUFE	EstadoDIAN	FechaAutorizacion	EstadoAprobacion	CodigoFormaPago	CodigoMedioPago
1	263033124318575655	9020037526	TREKNOS FERRETERIA S.A.S	DS600	2026-05-02 00:00:00.000	FACTURA DE VENTA NACIONAL	NULL	NULL	571600.00	NULL	NULL	NULL	NULL	NULL	NULL	571600.00	NULL	108604.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	680204.00	NULL	c3274f30da531930a7309cdb2ed92dcea3db4d94f858ba9e55ec7d8efba22c2cf67d8256dc18b0c47808e75880db0f31	NULL	NULL	Pendiente_Confirmacion	2	1
2	263033123414355845	9020037526	TREKNOS FERRETERIA S.A.S	DS599	2026-05-02 00:00:00.000	FACTURA DE VENTA NACIONAL	0.37	NULL	649577.00	NULL	NULL	NULL	NULL	NULL	NULL	649577.37	NULL	123419.63	NULL	NULL	NULL	NULL	NULL	NULL	NULL	772997.00	NULL	c9f555fcbdaca44626f9a4f44d5c342f49015240fe017be25ce3a6dd09aa75d3094686d0c3527172a7ac1bcf622a0d47	NULL	NULL	Pendiente_Confirmacion	2	1
3	263033123414365047	9020037526	TREKNOS FERRETERIA S.A.S	DS599	2026-05-02 00:00:00.000	FACTURA DE VENTA NACIONAL	0.37	NULL	649577.00	NULL	NULL	NULL	NULL	NULL	NULL	649577.37	NULL	123419.63	NULL	NULL	NULL	NULL	NULL	NULL	NULL	772997.00	NULL	c9f555fcbdaca44626f9a4f44d5c342f49015240fe017be25ce3a6dd09aa75d3094686d0c3527172a7ac1bcf622a0d47	NULL	NULL	Pendiente_Confirmacion	2	1
4	263108121039260146	9000402990	ATLANTIC FS S.A.S.	1330682004	2026-05-02 00:00:00.000	FACTURA DE VENTA NACIONAL	NULL	NULL	918922.00	NULL	NULL	NULL	NULL	NULL	NULL	918922.00	NULL	134600.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1053522.00	Cargado_OK	10279bdbf7d3093843b1fbd393cf2df093309da875c18d27087ccc7809db457882dc6c3c45d1ad2b2bfbe5cdb840308b	Registrado	NULL	Aceptado	2	1
5	263108121039265048	9000402990	ATLANTIC FS S.A.S.	1330682003	2026-05-02 00:00:00.000	FACTURA DE VENTA NACIONAL	NULL	NULL	392090.00	NULL	NULL	NULL	NULL	NULL	NULL	392090.00	NULL	74497.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	466587.00	Cargado_OK	54b4f22720723750907bd39fb6e3b4a9ee59af5a98b348b12f42c15475e2fc13ea6be75f77476472e5f6089bdd42e1b6	Registrado	NULL	Aceptado	2	1
6	263108121039273850	9000402990	ATLANTIC FS S.A.S.	1330682002	2026-05-02 00:00:00.000	FACTURA DE VENTA NACIONAL	147349.00	NULL	3216847.00	NULL	NULL	NULL	NULL	NULL	NULL	3364196.00	NULL	508060.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3872256.00	Cargado_OK	2e6c065a2058eafd1844bb65aa97b8db6baaaa337be5c7d53dd219997929b7df208e0c5cf53095b2b9cc712a0c33c6c4	Registrado	NULL	Aceptado	2	1
7	263033121668928340	8909006089	EXITO UNICENTRO BOGOTA	RX24198344	2026-05-02 00:00:00.000	FACTURA DE VENTA NACIONAL	22700.00	NULL	25779.83	NULL	NULL	NULL	NULL	NULL	NULL	48479.83	NULL	4898.17	NULL	NULL	NULL	NULL	NULL	NULL	NULL	53378.00	Cargado_OK	846e0c3f90d880fcc49a96e569b45b96c8e509326d9bdcf14d5928eedabe6d8c11fc7efef17a3fbd217aa29908f7db6a	NULL	NULL	PendienteEnvio	1	49
8	263033121668931142	8300268181	ANCLA Y VIENTO SAS	FC1345072	2026-05-02 00:00:00.000	FACTURA DE VENTA NACIONAL	998000.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	998000.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	998000.00	Cargado_OK	d7da71d04ee2d975329d55803122a49854c8144233abcf800a2ba70bb1c201373dce9ceb84d6ca7ecfd48b1ea2bc95c4	Registrado	NULL	Aceptado	2	ZZZ
9	263033124318558349	9020037526	TREKNOS FERRETERIA S.A.S	DS602	2026-05-02 00:00:00.000	FACTURA DE VENTA NACIONAL	NULL	NULL	1486900.00	NULL	NULL	NULL	NULL	NULL	NULL	1486900.00	NULL	282511.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1769411.00	NULL	f315c55100d4a205ba9339524c71153e3d6750096eae91a4fc7070d3e46acd09804f2fb45850e62c697054c370d9ad7d	NULL	NULL	Pendiente_Confirmacion	2	1
10	263033121726392586	9002769621	D1 S A S	H4D8138214	2026-05-02 00:00:00.000	FACTURA DE VENTA NACIONAL	NULL	49250.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	49250.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	49250.00	Cargado_OK	34dba53ccbbe4813c6b56c9cd481b2e148a5d3d76489750a5943f10164b7b930967d9e5060e965392951d3dd82aa847f	NULL	NULL	PendienteEnvio	1	49
