co_id_comprobante	co_estatus	co_id_emisor	co_num_comprobante	co_codigo_tipo_documento	DescripcionEstatus	em_nemonico	em_pais
267002148550405819	4	1996	0002-001-0000046076	01	Autorizado	HEST	507
267002148371010227	4	2142	0002-001-0000012760	01	Autorizado	VFAM	507
261010148371931743	4	1602	0001-108-0000078861	01	Autorizado	SITR	507
261010148371440941	4	1602	0001-120-0000052476	01	Autorizado	SITR	507
261010148371368940	4	1602	0001-108-0000078859	01	Autorizado	SITR	507
261010148371672842	4	1602	0001-108-0000078860	01	Autorizado	SITR	507
267002148550081101	4	2119	PV02-001-0000004335	01	Autorizado	ADOC	507
261017148371808441	4	558	0001-011-0000013094	01	Autorizado	CCDI	507
267002148370879504	4	1996	0005-003-0000042541	01	Autorizado	HEST	507
267002148551196725	4	1996	0001-001-0000061502	01	Autorizado	HEST	507
267002148551700926	4	1996	0001-001-0000061503	01	Autorizado	HEST	507
261059148372139377	4	653	0001-109-0000135449	01	Autorizado	CHAM	507
267002148552019402	4	1996	0005-001-0000067188	01	Autorizado	HEST	507
267002148371503206	4	1996	0001-002-0000002616	01	Autorizado	HEST	507
267002148372240707	4	1996	0001-002-0000002617	01	Autorizado	HEST	507
267002148552235927	4	1996	0001-001-0000061504	01	Autorizado	HEST	507
261021148371794338	4	680	0000-001-0000000577	01	Autorizado	AGMA	507
267002148553025443	4	1996	0007-002-0000056652	01	Autorizado	HEST	507
261017148373774342	4	558	0001-011-0000013095	01	Autorizado	CCDI	507
267002148373714928	4	2142	0002-001-0000012761	01	Autorizado	VFAM	507
267002148553702029	4	1996	0001-001-0000061506	01	Autorizado	HEST	507
261059148374428378	4	653	0001-109-0000135450	01	Autorizado	CHAM	507
261021148374050444	4	680	0000-001-0000000578	01	Autorizado	AGMA	507
261018148374797868	4	2071	0001-113-0000012066	01	Autorizado	HPOP	507
267002148374589429	4	2142	0002-001-0000012762	01	Autorizado	VFAM	507
261018148375245369	4	2071	0001-113-0000012067	01	Autorizado	HPOP	507
267002148374641405	4	1996	0005-003-0000042542	01	Autorizado	HEST	507
267002148374941706	4	1996	0005-003-0000042543	01	Autorizado	HEST	507
267002148554742730	4	1996	0001-001-0000061507	01	Autorizado	HEST	507
261018148375657170	4	2071	0001-113-0000012068	01	Autorizado	HPOP	507
261010148375853544	4	1602	0001-108-0000078862	01	Autorizado	SITR	507
261018148376179571	4	2071	0001-113-0000012069	01	Autorizado	HPOP	507
267002148556214920	4	1996	0002-001-0000046077	01	Autorizado	HEST	507
261010148376664245	4	1602	0001-108-0000078863	01	Autorizado	SITR	507
267002148376107007	4	1996	0005-003-0000042544	01	Autorizado	HEST	507
261059148376957779	4	653	0001-109-0000135451	01	Autorizado	CHAM	507
267002148556296944	4	1996	0007-002-0000056653	01	Autorizado	HEST	507
267002148556419609	4	1996	0004-001-0000043985	01	Autorizado	HEST	507
267002148556349267	4	658	0002-001-0000018821	01	Autorizado	HATR	507
261018148376772072	4	2071	0001-113-0000012070	01	Autorizado	HPOP	507
261010148377215646	4	1602	0001-108-0000078864	01	Autorizado	SITR	507
261059148377486080	4	653	0001-109-0000135452	01	Autorizado	CHAM	507
267002148557112610	4	1996	0004-001-0000043986	01	Autorizado	HEST	507
267002148557539221	4	1996	0002-001-0000046078	01	Autorizado	HEST	507
261010148377789647	4	1602	0001-108-0000078865	01	Autorizado	SITR	507
267002148376783508	4	1996	0005-003-0000042545	01	Autorizado	HEST	507
261021148377850350	4	680	0000-001-0000000579	01	Autorizado	AGMA	507
267002148557926122	4	1996	0002-001-0000046079	01	Autorizado	HEST	507
267002148557993005	4	1996	0006-001-0000041227	01	Autorizado	HEST	507
267002148377987030	4	2142	0002-001-0000012763	01	Autorizado	VFAM	507
261010148379772548	4	1602	0001-108-0000078866	01	Autorizado	SITR	507
261010148380105349	4	1602	0001-108-0000078867	01	Autorizado	SITR	507
267002148559578031	4	1996	0001-001-0000061508	01	Autorizado	HEST	507
261059148380256081	4	653	0001-109-0000135453	01	Autorizado	CHAM	507
267002148560058923	4	1996	0002-001-0000046080	01	Autorizado	HEST	507
267002148560709106	4	1996	0006-001-0000041228	01	Autorizado	HEST	507
261059148381267582	4	653	0001-109-0000135454	01	Autorizado	CHAM	507
267002148380939332	4	2142	0002-001-0000012765	01	Autorizado	VFAM	507
267002148380502731	4	2142	0002-001-0000012764	01	Autorizado	VFAM	507
267002148560909611	4	1996	0004-001-0000043987	01	Autorizado	HEST	507
267002148381062611	4	2097	0001-002-0000103783	01	Autorizado	CYPP	507
261021148378508452	4	680	0000-001-0000000580	01	Autorizado	AGMA	507
267002148561811124	4	1996	0002-001-0000046081	01	Autorizado	HEST	507
267002148381645733	4	2142	0002-001-0000012766	01	Autorizado	VFAM	507
